,anchor,positive,negative
13826,69069,3040,8
13827,69072,2090,5
13828,69075,1,8
13829,69088,5288,3
13830,69093,128944,14
13831,69095,5657,32
13832,69103,4,1
13833,69118,5506,2
13834,69122,87869,9
13835,69131,293,1
13836,69134,1464,3
13837,69136,20,13
13838,69140,22,1
13839,69155,16,2
13840,69159,20,2
13841,69169,107,2
13842,69187,472,6
13843,69195,4428,2
13844,69199,107,2
13845,69201,3,2
13846,69203,20,8
13847,69211,12,8
13848,69213,1,2
13849,69217,459,12
13850,69219,673,2
13851,69222,1,6
13852,69224,4,8
13853,69227,2828,14
13854,69231,4,8
13855,69233,4,5
13856,69241,68874,3
13857,69243,382,1
13858,69251,47384,3
13859,69253,252,2
13860,69255,4,6
13861,69269,899,6
13862,69275,116668,16
13863,69278,62956,16
13864,69280,1,6
13865,69284,1,8
13866,69299,4,1
13867,69302,4,3
13868,69304,84,9
13869,69306,459,5
13870,69310,4,2
13871,69324,3519,1
13872,69332,22,3
13873,69336,4,2
13874,69339,12,1
13875,69341,22,2
13876,69354,161,3
13877,69356,6213,1
13878,69358,4,3
13879,69361,22,1
13880,69370,6,1
13881,69372,2363,8
13882,69374,4,1
13883,69379,459,7
13884,69381,165,2
13885,69387,4,1
13886,69394,4862,3
13887,69406,339,2
13888,69419,196,1
13889,69421,20,1
13890,69429,4,2
13891,69432,37,3
13892,69436,36708,6
13893,69438,62511,2
13894,69442,1,6
13895,69444,1179,3
13896,69446,3,2
13897,69448,1,8
13898,69451,426,1
13899,69453,4953,5
13900,69458,91869,2
13901,69460,37,1
13902,69464,4,3
13903,69466,4,6
13904,69469,1,4
13905,69475,4,1
13906,69481,174055,2
13907,69483,4,6
13908,69485,132124,2
13909,69487,4,1
13910,69489,157,8
13911,69493,198,3
13912,69495,4,5
13913,69498,4,1
13914,69500,1,2
13915,69503,1,8
13916,69506,12,2
13917,69509,81132,7
13918,69516,1464,2
13919,69518,1,6
13920,69521,1191,1
13921,69524,380,4
13922,69526,53996,4
13923,69529,76054,2
13924,69542,171765,5
13925,69545,22,1
13926,69552,4,2
13927,69559,1464,1
13928,69565,37,1
13929,69569,4,2
13930,69574,885,7
13931,69604,1230,6
13932,69606,339,8
13933,69609,4,3
13934,69611,22,2
13935,69626,4,2
13936,69640,25855,2
13937,69644,40339,14
13938,69652,41,2
13939,69654,2058,3
13940,69666,4,2
13941,69670,32,2
13942,69674,1179,2
13943,69677,4,1
13944,69685,27369,2
13945,69687,1,8
13946,69689,1,4
13947,69699,4,8
13948,69701,4,5
13949,69704,1215,14
13950,69706,37,2
13951,69708,37,3
13952,69712,191,2
13953,69714,1220,13
13954,69720,2164,6
13955,69722,1,10
13956,69729,914,6
13957,69732,610,4
13958,69744,970,9
13959,69746,7373,3
13960,69748,1197,16
13961,69753,4,3
13962,69755,163,1
13963,69757,3885,6
13964,69761,4,2
13965,69766,37,3
13966,69768,4,5
13967,69771,4,5
13968,69773,4,2
13969,69784,49735,6
13970,69786,37,3
13971,69788,37,3
13972,69792,16,2
13973,69800,20,3
13974,69803,1,6
13975,69805,72165,4
13976,69809,29,3
13977,69811,4,2
13978,69818,2291,5
13979,69821,20,1
13980,69830,1310,1
13981,69834,4,2
13982,69842,4817,2
13983,69844,54001,5
13984,69849,4047,2
13985,69856,4,5
13986,69858,4,3
13987,69860,41,1
13988,69864,37,2
13989,69873,410,10
13990,69878,37,3
13991,69880,22,3
13992,69882,1,10
13993,69904,27822,1
13994,69906,22,2
13995,69908,4,2
13996,69911,151,5
13997,69917,1,8
13998,69919,4,3
13999,69926,3,2
14000,69928,107,10
14001,69931,4,1
14002,69934,539,8
14003,69945,3717,1
14004,69947,160,2
14005,69949,16,2
14006,69951,37857,6
14007,69953,37,2
14008,69957,37,3
14009,69964,110,2
14010,69971,4,1
14011,69974,22,1
14012,69979,4,1
14013,69981,6,3
14014,69986,4,1
14015,69988,4877,2
14016,69992,6087,6
14017,69995,4176,1
14018,70008,4,8
14019,70015,5989,1
14020,70032,472,2
14021,70046,22,3
14022,70048,1,6
14023,70050,20,3
14024,70062,20,1
14025,70064,6,3
14026,70088,4,3
14027,70093,130988,2
14028,70102,2966,3
14029,70118,10,5
14030,70121,163,3
14031,70126,37,2
14032,70128,20,9
14033,70130,4,1
14034,70133,64,6
14035,70146,163,3
14036,70148,1118,1
14037,70152,37,1
14038,70155,1,6
14039,70157,899,6
14040,70159,34532,1
14041,70173,4,2
14042,70175,16,1
14043,70181,163,2
14044,70183,1353,2
14045,70186,4,3
14046,70188,4,5
14047,70197,37,2
14048,70201,32943,8
14049,70204,151,1
14050,70206,99470,1
14051,70208,8369,1
14052,70223,26236,16
14053,70227,22,2
14054,70229,22,2
14055,70235,4,2
14056,70237,4,2
14057,70282,60516,5
14058,70286,748,3
14059,70293,6596,2
14060,70295,37,3
14061,70301,217,3
14062,70305,780,5
14063,70312,472,2
14064,70315,1,6
14065,70318,22,3
14066,70327,4,2
14067,70331,1,8
14068,70334,4540,6
14069,70336,480,4
14070,70342,162,3
14071,70344,472,6
14072,70355,4,1
14073,70361,20,3
14074,70366,12,2
14075,70370,4,2
14076,70372,4,2
14077,70374,1,2
14078,70377,7217,1
14079,70410,2181,1
14080,70418,48,2
14081,70421,4,1
14082,70423,4,2
14083,70425,3,8
14084,70432,5394,5
14085,70439,4,8
14086,70451,2944,1
14087,70465,20,2
14088,70488,443,4
14089,70490,1118,3
14090,70492,163,3
14091,70495,20,13
14092,70497,6990,32
14093,70500,37,2
14094,70507,224,8
14095,70511,163,1
14096,70513,163,2
14097,70517,1,9
14098,70521,28,9
14099,70529,1,8
14100,70531,163,1
14101,70533,84187,5
14102,70535,239,2
14103,70537,4,3
14104,70541,4,2
14105,70543,4,3
14106,70545,1,6
14107,70549,4,2
14108,70559,20,1
14109,70562,1537,6
14110,70565,2574,8
14111,70567,1353,2
14112,70571,1,2
14113,70587,256,6
14114,70591,20,3
14115,70593,16,2
14116,70595,1,6
14117,70597,6710,8
14118,70599,1286,5
14119,70607,48678,8
14120,70609,4,3
14121,70611,4,1
14122,70629,4,3
14123,70637,461,2
14124,70641,65,2
14125,70643,430,8
14126,70649,4,1
14127,70656,37,3
14128,70659,37,1
14129,70661,4,2
14130,70663,1257,8
14131,70670,1245,3
14132,70678,4,1
14133,70682,472,6
14134,70684,4,1
14135,70687,566,6
14136,70689,1179,2
14137,70695,22,3
14138,70697,40339,3
14139,70703,1,4
14140,70706,5730,2
14141,70708,34528,1
14142,70712,29,3
14143,70722,4,5
14144,70724,1179,1
14145,70726,4,2
14146,70728,7235,8
14147,70730,4,3
14148,70740,4,6
14149,70742,37,1
14150,70751,4,3
14151,70762,1,2
14152,70769,587,9
14153,70789,4,2
14154,70792,163,3
14155,70795,22,2
14156,70797,459,3
14157,70800,37,1
14158,70802,2143,5
14159,70804,37,1
14160,70806,37,1
14161,70817,10,5
14162,70819,22,2
14163,70821,37,3
14164,70824,426,1
14165,70826,12,3
14166,70828,31549,2
14167,70831,682,2
14168,70833,4,3
14169,70837,20,3
14170,70839,123,5
14171,70843,123,1
14172,70846,1156,3
14173,70849,55391,1
14174,70862,101106,2
14175,70864,7235,8
14176,70867,212,6
14177,70869,123,2
14178,70871,5236,2
14179,70877,29,6
14180,70880,4,3
14181,70887,22,2
14182,70889,1,8
14183,70891,123,2
14184,70898,61354,8
14185,70912,764,3
14186,70914,10,3
14187,70920,3,8
14188,70924,4,2
14189,70927,6839,6
14190,70932,252,6
14191,70946,26157,5
14192,70948,37,3
14193,70958,48,1
14194,70961,1799,9
14195,70964,37,2
14196,70968,4,6
14197,70970,41,2
14198,70976,4,5
14199,70978,1,6
14200,70984,4642,2
14201,70988,4,2
14202,70990,4,3
14203,70992,121,2
14204,70994,891,4
14205,71007,198,1
14206,71011,3555,2
14207,71014,1179,1
14208,71017,4,3
14209,71027,4,8
14210,71029,37,2
14211,71033,4869,1
14212,71047,37,2
14213,71057,122882,3
14214,71065,1,8
14215,71067,12,6
14216,71069,20,3
14217,71094,20,9
14218,71096,16,2
14219,71102,10,5
14220,71104,4,2
14221,71106,1270,8
14222,71108,923,2
14223,71110,4,8
14224,71112,4,8
14225,71114,3,6
14226,71116,37,3
14227,71129,58404,5
14228,71131,6667,3
14229,71133,20,13
14230,71135,1590,1
14231,71139,459,9
14232,71141,20,8
14233,71143,224,6
14234,71147,4,3
14235,71152,29,3
14236,71154,20,2
14237,71156,4956,13
14238,71158,1,2
14239,71160,53125,4
14240,71164,1,6
14241,71168,27781,5
14242,71170,4,3
14243,71178,4,1
14244,71180,4,2
14245,71182,41,2
14246,71184,37,1
14247,71187,1,8
14248,71189,107,8
14249,71199,4,1
14250,71201,1,6
14251,71203,12,2
14252,71205,2026,2
14253,71211,608,9
14254,71216,48,2
14255,71237,4,2
14256,71239,5342,2
14257,71241,6446,18
14258,71243,1464,2
14259,71246,298,3
14260,71248,3865,2
14261,71252,88932,1
14262,71254,172,2
14263,71264,8965,5
14264,71266,4,5
14265,71268,4,8
14266,71276,4,2
14267,71278,1,9
14268,71280,20,2
14269,71282,1797,2
14270,71285,4,6
14271,71300,4,2
14272,71302,1391,6
14273,71304,4036,3
14274,71318,3745,3
14275,71322,4,1
14276,71325,1353,6
14277,71327,25833,2
14278,71341,59129,2
14279,71343,164,2
14280,71348,16,1
14281,71350,7217,1
14282,71355,4,5
14283,71357,4,2
14284,71361,81,1
14285,71363,1,8
14286,71372,1322,4
14287,71374,891,4
14288,71376,6,2
14289,71379,2710,3
14290,71382,4,2
14291,71384,4,3
14292,71386,1,9
14293,71390,687,3
14294,71402,1,8
14295,71404,1,5
14296,71409,6,1
14297,71413,4,6
14298,71416,107,6
14299,71418,4,3
14300,71426,22,2
14301,71429,45,2
14302,71433,1118,7
14303,71438,26055,2
14304,71442,4,8
14305,71444,48,2
14306,71446,4,2
14307,71448,1,2
14308,71450,27846,1
14309,71453,682,2
14310,71458,163,2
14311,71460,163,2
14312,71462,99,2
14313,71464,608,8
14314,71466,106841,9
14315,71468,29,5
14316,71472,1,6
14317,71474,1562,5
14318,71482,367,8
14319,71484,27537,4
14320,71486,20,2
14321,71488,22,2
14322,71490,5771,3
14323,71494,70,2
14324,71497,41,2
14325,71500,891,2
14326,71503,12,3
14327,71518,2766,2
14328,71520,1682,2
14329,71522,37,1
14330,71525,1,6
14331,71530,8644,2
14332,71533,5678,8
14333,71535,141408,2
14334,71537,6245,6
14335,71542,108,2
14336,71545,4,3
14337,71550,1268,6
14338,71556,532,2
14339,71558,1,6
14340,71560,1,6
14341,71571,50147,2
14342,71573,2126,1
14343,71575,3976,6
14344,71579,1542,2
14345,71582,4,2
14346,71591,107,6
14347,71606,551,4
14348,71619,107916,1
14349,71634,4,1
14350,71638,4,1
14351,71640,37,1
14352,71650,37,3
14353,71653,16,2
14354,71664,1,2
14355,71668,1894,2
14356,71670,64,2
14357,71675,1,8
14358,71677,4,8
14359,71685,4,2
14360,71688,27729,6
14361,71691,1488,2
14362,71693,4,2
14363,71695,16,3
14364,71697,4,2
14365,71700,5569,1
14366,71702,3,2
14367,71705,3,2
14368,71707,1064,6
14369,71709,4,2
14370,71717,151,1
14371,71719,3,8
14372,71726,1,6
14373,71728,5855,2
14374,71730,37,1
14375,71732,532,8
14376,71736,4,3
14377,71738,347,3
14378,71740,631,6
14379,71743,4,5
14380,71745,2138,6
14381,71748,48,2
14382,71750,4,3
14383,71755,4,1
14384,71758,4,1
14385,71760,224,6
14386,71762,37,3
14387,71765,37,2
14388,71779,110,2
14389,71792,157,8
14390,71795,16,2
14391,71804,4,6
14392,71806,4,2
14393,71808,20,2
14394,71810,82765,7
14395,71817,37,1
14396,71821,1,5
14397,71823,5622,2
14398,71838,55080,1
14399,71840,15,12
14400,71851,196,2
14401,71865,4,3
14402,71867,24,1
14403,71873,10,4
14404,71876,27006,1
14405,71878,2389,4
14406,71888,4,1
14407,71899,91414,8
14408,71902,5450,1
14409,71910,72489,1
14410,71926,112946,2
14411,71928,3531,2
14412,71931,41,3
14413,71933,155,3
14414,71936,4,3
14415,71938,41,3
14416,71940,4,2
14417,71942,4,1
14418,71966,4,1
14419,71970,101,6
14420,71973,4,1
14421,71976,15,6
14422,71978,4,1
14423,71980,4,6
14424,71986,2930,1
14425,71989,4,5
14426,71991,4,3
14427,71993,1,5
14428,71995,610,1
14429,71999,49593,18
14430,72001,1,8
14431,72011,50274,1
14432,72013,4,3
14433,72016,37,2
14434,72018,1189,2
14435,72022,4,2
14436,72027,41,2
14437,72030,37,2
14438,72032,37,3
14439,72035,1151,8
14440,72037,1,9
14441,72039,26796,1
14442,72041,12,2
14443,72043,72701,2
14444,72045,16,3
14445,72090,164,3
14446,72092,22,1
14447,72094,4,2
14448,72096,4,2
14449,72100,1,6
14450,72102,594,3
14451,72104,1223,2
14452,72109,40226,8
14453,72113,67,2
14454,72117,6927,5
14455,72124,4,1
14456,72129,55577,2
14457,72131,8998,1
14458,72142,5673,13
14459,72153,4,1
14460,72156,1,4
14461,72159,27636,2
14462,72161,26117,2
14463,72163,3834,9
14464,72165,1339,14
14465,72167,3682,1
14466,72169,2330,2
14467,72171,4066,13
14468,72176,1112,2
14469,72178,218,2
14470,72204,22,3
14471,72209,32031,4
14472,72212,1,8
14473,72216,1,8
14474,72224,6978,8
14475,72226,1148,17
14476,72228,36,2
14477,72235,4,1
14478,72249,4836,5
14479,72258,20,13
14480,72261,364,4
14481,72263,1,2
14482,72265,4,1
14483,72267,4,3
14484,72273,1,2
14485,72276,1,3
14486,72281,4,1
14487,72283,41,1
14488,72287,4,1
14489,72290,41,2
14490,72292,4,1
14491,72294,8965,6
14492,72298,553,3
14493,72300,4,1
14494,72302,41,3
14495,72304,682,3
14496,72308,1210,12
14497,72310,4,2
14498,72315,163,5
14499,72321,37,1
14500,72325,48,5
14501,72327,1245,1
14502,72330,660,1
14503,72332,97757,9
14504,72334,37,1
14505,72336,1,6
14506,72340,212,2
14507,72342,1,2
14508,72344,4,2
14509,72356,115875,10
14510,72360,558,3
14511,72363,29,3
14512,72367,43923,5
14513,72369,44115,1
14514,72378,8361,1
14515,72380,81132,2
14516,72386,1190,1
14517,72388,4,5
14518,72391,4,3
14519,72393,90345,2
14520,72395,121,3
14521,72400,1464,1
14522,72405,778,3
14523,72407,63992,5
14524,72424,127323,3
14525,72479,5625,1
14526,72483,1290,5
14527,72485,25,1
14528,72489,73741,3
14529,72491,1396,9
14530,72505,10,3
14531,72507,6,3
14532,72512,1,8
14533,72514,69136,3
14534,72516,1,5
14535,72524,1191,1
14536,72537,6,2
14537,72552,4,2
14538,72554,624,2
14539,72557,319,8
14540,72559,1,9
14541,72571,32,3
14542,72574,20,1
14543,72583,1,3
14544,72585,3,8
14545,72587,48,5
14546,72589,4,2
14547,72591,227,4
14548,72593,6,1
14549,72601,51939,14
14550,72603,551,3
14551,72605,51709,2
14552,72607,4,8
14553,72609,37,1
14554,72612,1,8
14555,72618,27,3
14556,72621,48,3
14557,72624,4,3
14558,72626,368,2
14559,72628,22,3
14560,72630,4625,1
14561,72632,4,2
14562,72634,37,1
14563,72637,1,3
14564,72641,524,2
14565,72643,4,6
14566,72645,37,2
14567,72647,4,3
14568,72649,4,2
14569,72651,1,2
14570,72653,4,1
14571,72657,41,3
14572,72668,20,2
14573,72670,22,3
14574,72672,6,2
14575,72674,4,5
14576,72678,4,1
14577,72681,41,3
14578,72683,4,2
14579,72692,60365,8
14580,72694,3112,2
14581,72696,4899,6
14582,72698,459,1
14583,72701,60516,9
14584,72703,197,5
14585,72712,77,1
14586,72714,5619,1
14587,72718,4,2
14588,72720,545,1
14589,72722,20,2
14590,72724,6,2
14591,72726,4,1
14592,72731,26693,3
14593,72733,782,1
14594,72735,151,1
14595,72737,595,5
14596,72741,6324,3
14597,72751,163,1
14598,72762,7031,1
14599,72764,12,8
14600,72777,54771,1
14601,72781,411,8
14602,72784,22,2
14603,72787,4497,8
14604,72815,37,1
14605,72822,4,2
14606,72833,459,9
14607,72840,6,1
14608,72842,20,3
14609,72844,7528,5
14610,72846,4,1
14611,72848,4,3
14612,72850,4,2
14613,72852,20,2
14614,72854,4,5
14615,72856,347,1
14616,72866,4,2
14617,72870,4,2
14618,72872,20,2
14619,72874,6,3
14620,72876,4,1
14621,72878,4,1
14622,72880,4,3
14623,72883,3,6
14624,72885,4,2
14625,72897,4,1
14626,72899,4,1
14627,72901,4,1
14628,72904,4,2
14629,72906,4,3
14630,72908,4,2
14631,72910,4,1
14632,72913,37,2
14633,72915,48,2
14634,72919,74355,9
14635,72921,224,6
14636,72923,20,1
14637,72925,1,3
14638,72927,1,4
14639,72929,22,3
14640,72931,1,2
14641,72934,1,8
14642,72936,3,2
14643,72947,3,8
14644,72949,4,1
14645,72953,914,8
14646,72956,1,6
14647,72958,12,2
14648,72960,4,1
14649,72980,85211,1
14650,72982,2161,3
14651,72995,22,2
14652,72998,82461,3
14653,73000,40826,2
14654,73002,20,2
14655,73008,151,1
14656,73010,3,2
14657,73015,357,8
14658,73017,91542,2
14659,73023,2070,2
14660,73025,6,3
14661,73027,1872,2
14662,73031,1,2
14663,73042,3034,10
14664,73049,459,8
14665,73051,4487,2
14666,73056,4,1
14667,73060,1,8
14668,73064,4,1
14669,73086,164,2
14670,73089,53207,3
14671,73099,4,2
14672,73101,1151,9
14673,73106,6036,8
14674,73109,4,2
14675,73111,368,2
14676,73114,1262,3
14677,73117,6241,2
14678,73121,1215,3
14679,73123,86,7
14680,73125,4,8
14681,73133,37,2
14682,73135,4,6
14683,73137,81,2
14684,73139,20,2
14685,73141,37,3
14686,73143,37,3
14687,73145,4,8
14688,73148,1479,5
14689,73150,6,2
14690,73152,4,3
14691,73154,4,2
14692,73158,3834,5
14693,73160,12,2
14694,73162,20,2
14695,73165,20,8
14696,73168,164367,1
14697,73170,899,6
14698,73183,31590,2
14699,73185,20,1
14700,73188,4,2
14701,73194,4,2
14702,73196,4,2
14703,73198,37,3
14704,73200,3,6
14705,73202,4,1
14706,73204,4,1
14707,73208,141818,6
14708,73211,5160,2
14709,73224,1,5
14710,73226,37,3
14711,73228,6,3
14712,73230,20,2
14713,73232,4,3
14714,73234,20,1
14715,73236,6,2
14716,73240,4,2
14717,73245,4,2
14718,73256,22,2
14719,73261,4,1
14720,73266,3210,6
14721,73268,70,2
14722,73270,213,3
14723,73276,1077,1
14724,73284,3508,3
14725,73286,10,5
14726,73290,43917,1
14727,73304,4,8
14728,73306,1,8
14729,73314,37,2
14730,73317,368,2
14731,73319,1629,2
14732,73321,1726,3
14733,73323,67255,3
14734,73328,4,6
14735,73330,1245,3
14736,73334,4,3
14737,73339,4,5
14738,73344,1423,3
14739,73355,29,5
14740,73359,1,6
14741,73365,164,5
14742,73370,4296,5
14743,73384,123,2
14744,73386,16,1
14745,73390,3000,2
14746,73392,6775,1
14747,73399,4,2
14748,73401,4,3
14749,73411,61160,5
14750,73413,3495,6
14751,73416,4,1
14752,73431,6893,9
14753,73442,198,3
14754,73444,20,3
14755,73447,3,6
14756,73449,4,1
14757,73453,37,1
14758,73457,4,2
14759,73460,37,3
14760,73462,2828,6
14761,73464,6,1
14762,73466,6,2
14763,73469,37,2
14764,73472,37,2
14765,73475,20,3
14766,73478,12,3
14767,73480,81,1
14768,73488,70,3
14769,73492,4,3
14770,73494,3,2
14771,73499,10,4
14772,73501,1,8
14773,73504,4,1
14774,73511,22,2
14775,73513,91844,2
14776,73515,3,2
14777,73523,4,2
14778,73526,4,3
14779,73529,1,2
14780,73531,4,1
14781,73533,4,2
14782,73569,861,8
14783,73572,1464,2
14784,73581,4,3
14785,73587,1698,2
14786,73590,4,5
14787,73608,27564,2
14788,73614,16,3
14789,73617,4,2
14790,73630,4,5
14791,73639,163,1
14792,73641,22,2
14793,73664,5038,3
14794,73668,4,3
14795,73676,20,2
14796,73678,380,22
14797,73681,98017,8
14798,73708,37,3
14799,73710,37,3
14800,73713,58,2
14801,73718,3101,3
14802,73730,6,1
14803,73741,72489,3
14804,73744,48,5
14805,73754,37,1
14806,73759,130508,4
14807,73772,4,1
14808,73774,4,2
14809,73776,151,2
14810,73778,1,2
14811,73780,4,1
14812,73782,4,1
14813,73790,81,5
14814,73804,36289,14
14815,73808,22,2
14816,73813,37,3
14817,73818,4,2
14818,73820,4,2
14819,73822,4,2
14820,73824,4,3
14821,73826,4,3
14822,73829,1387,2
14823,73831,4,1
14824,73834,6,3
14825,73851,1,6
14826,73854,551,4
14827,73858,1,6
14828,73860,346,2
14829,73862,37,3
14830,73868,37,3
14831,73870,6395,2
14832,73872,37,2
14833,73874,1626,1
14834,73876,33437,3
14835,73879,69644,22
14836,73881,6696,6
14837,73883,1,5
14838,73885,20,3
14839,73900,914,2
14840,73912,1,2
14841,73914,86,7
14842,73919,1,6
14843,73922,3,6
14844,73929,31696,4
14845,73954,110,2
14846,73967,4,3
14847,73978,3834,9
14848,73981,20,3
14849,73983,4,1
14850,73987,368,6
14851,73989,6,1
14852,73991,3,2
14853,74014,4,6
14854,74017,1,8
14855,74056,37,3
14856,74061,7235,9
14857,74064,20,1
14858,74075,2163,8
14859,74086,4,1
14860,74089,1028,4
14861,74095,5146,5
14862,74097,155,3
14863,74099,6421,1
14864,74103,20,2
14865,74107,1,6
14866,74109,3,8
14867,74111,54075,5
14868,74113,41,1
14869,74115,558,4
14870,74127,12,2
14871,74129,224,9
14872,74131,52375,2
14873,74135,4,8
14874,74137,3,6
14875,74139,48319,1
14876,74141,4,3
14877,74144,4,3
14878,74148,37,1
14879,74150,4,6
14880,74152,411,8
14881,74154,1569,6
14882,74156,61,1
14883,74159,20,1
14884,74161,911,9
14885,74164,22,2
14886,74204,2956,1
14887,74226,682,1
14888,74228,1625,2
14889,74230,41,2
14890,74255,6,1
14891,74257,6,1
14892,74261,266,2
14893,74263,4,1
14894,74266,4,2
14895,74271,140293,7
14896,74275,171,6
14897,74282,26528,6
14898,74284,1,6
14899,74287,266,1
14900,74297,4,1
14901,74300,1,2
14902,74302,6,1
14903,74306,4,3
14904,74310,3,2
14905,74317,37,2
14906,74319,4,2
14907,74324,117176,1
14908,74327,450,6
14909,74330,1,8
14910,74332,1,8
14911,74337,4,5
14912,74339,107,6
14913,74342,356,2
14914,74355,72919,2
14915,74370,1350,1
14916,74382,16,3
14917,74404,74406,5
14918,74406,74404,18
14919,74416,483,3
14920,74426,8971,5
14921,74428,3,2
14922,74431,4,2
14923,74434,6567,2
14924,74436,968,9
14925,74438,4956,32
14926,74446,22,1
14927,74448,22,1
14928,74450,357,8
14929,74452,382,1
14930,74456,22,3
14931,74458,1625,1
14932,74471,22,3
14933,74473,22,1
14934,74475,1369,2
14935,74478,4,6
14936,74480,3,6
14937,74484,7325,2
14938,74486,1223,3
14939,74488,131,6
14940,74491,688,5
14941,74493,20,3
14942,74504,38701,2
14943,74506,3,5
14944,74508,613,1
14945,74510,67255,2
14946,74512,37,3
14947,74530,104074,4
14948,74532,7048,13
14949,74538,4,1
14950,74541,51063,9
14951,74545,2058,2
14952,74547,41,1
14953,74553,6773,5
14954,74573,1484,8
14955,74575,356,2
14956,74580,89002,16
14957,74582,6600,6
14958,74588,16,3
14959,74590,347,1
14960,74595,4,3
14961,74613,81,5
14962,74619,546,4
14963,74621,4,1
14964,74624,4000,9
14965,74630,551,5
14966,74641,3868,8
14967,74647,1,8
14968,74649,4,6
14969,74653,6009,1
14970,74657,20,8
14971,74668,42718,1
14972,74671,20,2
14973,74673,20,1
14974,74675,4,1
14975,74677,105429,3
14976,74679,37,3
14977,74681,1,8
14978,74683,1,8
14979,74685,6395,2
14980,74688,4067,1
14981,74696,326,2
14982,74698,30883,9
14983,74701,37,1
14984,74706,41,2
14985,74727,7835,9
14986,74731,172,3
14987,74733,20,1
14988,74738,22,1
14989,74740,78088,3
14990,74748,41,1
14991,74750,1336,2
14992,74752,2026,1
14993,74754,4775,8
14994,74760,4719,14
14995,74777,22,3
14996,74780,4,1
14997,74782,27,3
14998,74787,2506,2
14999,74789,72982,5
15000,74791,1151,3
15001,74795,50151,1
15002,74799,6446,5
15003,74818,81,1
15004,74820,4,2
15005,74827,41997,2
15006,74851,5507,1
15007,74857,20,3
15008,74859,899,2
15009,74864,56,2
15010,74866,70,3
15011,74868,273,1
15012,74870,1,8
15013,74886,8403,5
15014,74916,44864,6
15015,74937,20,3
15016,74944,59016,2
15017,74946,339,2
15018,74948,3275,2
15019,74965,22,1
15020,74967,120,6
15021,75335,4,1
15022,75341,215,2
15023,75345,4,5
15024,75349,426,2
15025,75351,27751,4
15026,75362,12,3
15027,75367,16,2
15028,75370,163,2
15029,75374,70,3
15030,75386,22,2
15031,75389,6950,3
15032,75392,20,1
15033,75395,79863,2
15034,75397,112,16
15035,75402,4,1
15036,75404,12,2
15037,75406,37,3
15038,75408,76153,37
15039,75414,27317,1
15040,75416,160,3
15041,75421,4,1
15042,75423,224,6
15043,75425,58332,3
15044,75428,4,1
15045,75434,224,8
15046,75436,4,2
15047,75438,1799,2
15048,75440,1747,6
15049,75443,16,1
15050,75446,851,1
15051,75803,1,8
15052,75805,236,8
15053,75808,20,1
15054,75813,95583,8
15055,75816,4877,6
15056,75818,37,1
15057,75820,929,3
15058,75823,4902,1
15059,75825,22,2
15060,75831,48,1
15061,75927,6,1
15062,75929,27317,5
15063,75938,688,5
15064,75940,4,1
15065,75947,37,2
15066,75950,4,1
15067,75962,3,2
15068,75977,1799,9
15069,75979,1179,2
15070,75981,1,8
15071,75983,142448,3
15072,75985,76,1
15073,75990,4,2
15074,75992,4,3
15075,75994,897,6
15076,75998,6,3
15077,76022,382,2
15078,76030,1350,2
15079,76032,20,3
15080,76034,37,2
15081,76044,20,2
15082,76049,37,2
15083,76051,20,8
15084,76054,68522,1
15085,76056,20,1
15086,76060,6519,8
15087,76063,22,2
15088,76066,22,1
15089,76077,248,8
15090,76079,55253,1
15091,76082,20,2
15092,76085,4,3
15093,76087,22,1
15094,76089,4,2
15095,76091,5388,2
15096,76093,364,4
15097,76108,48061,6
15098,76111,4244,1
15099,76117,20,3
15100,76119,80350,6
15101,76121,6,1
15102,76127,8574,6
15103,76130,1382,1
15104,76132,101,14
15105,76134,22,1
15106,76137,37,2
15107,76143,6,3
15108,76145,22,2
15109,76147,252,6
15110,76149,4,2
15111,76151,37,3
15112,76153,75408,8
15113,76156,4,2
15114,76158,5351,1
15115,76160,347,3
15116,76163,4,3
15117,76169,911,8
15118,76171,4,2
15119,76173,6974,2
15120,76175,41569,5
15121,76182,12,2
15122,76185,4,8
15123,76187,4,1
15124,76189,32,3
15125,76208,2488,2
15126,76210,85401,2
15127,76217,4,1
15128,76238,20,13
15129,76241,20,3
15130,76244,7215,5
15131,76251,2723,13
15132,76255,20,2
15133,76258,20,3
15134,76269,4,2
15135,76272,78,1
15136,76277,266,1
15137,76279,899,8
15138,76288,37,2
15139,76291,4,2
15140,76293,380,8
15141,76298,12,3
15142,76301,1907,9
15143,76303,22,2
15144,76312,20,9
15145,76317,3686,3
15146,76533,3,8
15147,76680,4451,2
15148,76692,4,5
15149,76695,368,6
15150,76699,37,1
15151,76701,266,1
15152,76709,1,4
15153,76711,1,6
15154,76714,4,1
15155,76716,20,3
15156,76718,70,2
15157,76720,3,6
15158,76722,163,2
15159,76729,22,1
15160,76731,37,1
15161,76736,12,2
15162,76738,4208,2
15163,76743,112,16
15164,76747,4,2
15165,76751,1189,2
15166,76753,724,3
15167,76755,614,4
15168,76758,1,2
15169,76763,5508,2
15170,76770,37,2
15171,76772,20,3
15172,76776,22,2
15173,76778,33072,3
15174,76808,4,2
15175,76811,426,2
15176,76814,22,3
15177,76816,4,5
15178,76818,4,6
15179,76823,459,7
15180,76827,4,8
15181,76829,3,2
15182,76832,724,5
15183,76836,4,3
15184,76860,22,2
15185,76862,4,1
